epoch,global_step,loss,lr
1,50,0.6888284832239151,1e-05
1,100,0.35122206807136536,2e-05
1,150,0.35390815138816833,3e-05
1,200,0.28595326095819473,4e-05
1,250,0.23939272575080395,5e-05
1,300,0.2554706633090973,6e-05
1,350,0.24826594814658165,7e-05
1,400,0.22565675154328346,8e-05
1,450,0.2741391882300377,9e-05
1,500,0.3254077136516571,0.0001
1,550,0.2686862051486969,9.999998980060556e-05
1,600,0.26126255840063095,9.999995920242638e-05
1,650,0.153367904946208,9.999990820547494e-05
1,700,0.24136162549257278,9.999983680977207e-05
1,750,0.2270452119410038,9.999974501534688e-05
1,800,0.16703643277287483,9.999963282223681e-05
1,850,0.209077138453722,9.999950023048765e-05
1,900,0.21199801936745644,9.999934724015349e-05
1,950,0.15536028146743774,9.999917385129675e-05
1,1000,0.2738681100308895,9.999898006398818e-05
1,1050,0.21210491098463535,9.99987658783068e-05
1,1100,0.19194263592362404,9.999853129434003e-05
1,1150,0.132777351886034,9.999827631218354e-05
1,1200,0.2577655091881752,9.99980009319414e-05
1,1250,0.26893963664770126,9.999770515372592e-05
1,1300,0.16604012250900269,9.999738897765781e-05
1,1350,0.19438397139310837,9.999705240386602e-05
1,1400,0.26682593300938606,9.999669543248789e-05
1,1450,0.1976067777723074,9.999631806366905e-05
1,1500,0.2764420686289668,9.999592029756345e-05
1,1550,0.30249476432800293,9.999550213433337e-05
1,1600,0.24367894884198904,9.999506357414942e-05
1,1650,0.25579986721277237,9.999460461719052e-05
1,1700,0.12939806235954165,9.999412526364392e-05
1,1750,0.14114863239228725,9.999362551370517e-05
1,1800,0.1941223256289959,9.999310536757815e-05
1,1850,0.16884511709213257,9.99925648254751e-05
1,1900,0.16487663891166449,9.999200388761651e-05
1,1950,0.2866504341363907,9.999142255423124e-05
1,2000,0.2625832222402096,9.999082082555647e-05
1,2050,0.2924806922674179,9.99901987018377e-05
1,2100,0.21956443041563034,9.99895561833287e-05
1,2150,0.24598654359579086,9.998889327029166e-05
1,2200,0.24492057785391808,9.998820996299699e-05
1,2250,0.2842388078570366,9.998750626172346e-05
1,2300,0.20168006792664528,9.99867821667582e-05
1,2350,0.2095448225736618,9.998603767839658e-05
1,2400,0.25259657204151154,9.998527279694237e-05
1,2450,0.2072758637368679,9.99844875227076e-05
1,2500,0.24148361384868622,9.998368185601266e-05
1,2550,0.14063917472958565,9.998285579718623e-05
1,2600,0.2712794244289398,9.99820093465653e-05
1,2650,0.18622412905097008,9.998114250449527e-05
1,2700,0.2566286399960518,9.99802552713297e-05
1,2750,0.3176606446504593,9.997934764743064e-05
